PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
1	0.020086728925918135	HIF-1α-PHD_ass	0	1	49	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	49	25	25	0	0	
2	0.17398893101244176	HIF-1α-PHD_ass	0	2	48	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	25	25	0	0	
3	0.20810414174967684	HIF-1α-PHD_ass	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	25	25	0	0	
4	0.2560386477321901	oxygen_supply_in	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
5	0.35170794000273864	HIF-1α-PHD_ass	0	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	46	24	26	0	0	
6	0.6730987951549752	HIF-1α-PHD_diss	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
7	0.6813862872567568	HIF-1α-PHD_ass	0	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	46	24	26	0	0	
8	0.8597068215634999	HIF-1α-PHD_diss	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
9	1.039435331244399	interface_HIF1α	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	24	26	0	0	
10	1.067055047224619	oxygen_supply_out	0	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	25	25	0	0	
11	1.1786775240237122	HIF-1α-PHD_ass	0	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	25	25	0	0	
12	1.219422086997583	oxygen_supply_in	0	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
13	1.2225130714651713	interface_HIF1α	0	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	24	26	0	0	
14	1.4469358213881311	HIF-1α-PHD_ass	0	5	45	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
15	1.4912734390224855	oxygenation_HIF-1α	1	4	46	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	24	26	0	0	
16	1.7407434449129597	HIF-1α-PHD_diss	1	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	24	26	0	0	
17	1.9516414285090953	oxygen_supply_in	1	3	47	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	23	27	0	0	
18	1.9518273516256912	HIF-1αβ_ass	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	23	27	0	0	
19	1.9602097075148632	oxygen_supply_in	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	22	28	0	0	
20	2.113776689375082	interface_HIF1α	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	22	28	0	0	
21	2.1151184407940673	oxygenation_HIF-1α	2	2	48	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	48	22	28	0	0	
22	2.1729303008291576	HIF-1α-PHD_ass	2	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	47	22	28	0	0	
23	2.640185772707127	HIF1α-OH-VHL_ass	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	47	22	28	0	0	
24	2.7387807855196535	HIF-1α-PHD_diss	1	2	48	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	48	22	28	0	0	
25	2.7990754277881593	HIF-1α-PHD_ass	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	47	22	28	0	0	
26	2.8918978052646596	oxygen_supply_in	1	3	47	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	47	21	29	0	0	
27	2.9476920023789686	HIF-1αβ_ass	1	3	47	48	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	46	21	29	0	0	
28	3.0100260119468802	HIF1α-OH-VHL_diss	2	3	47	48	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	46	21	29	0	0	
29	3.198817191015819	oxygen_supply_in	2	3	47	48	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	46	20	30	0	0	
30	3.4842490697139117	oxygenation_HIF-1α	3	2	48	48	2	0	0	50	0	1	1	0	1	1	0	0	0	50	0	0	0	0	0	0	1	46	20	30	0	0	
31	3.5408582473745867	HIF1α-OH-VHL_ass	2	2	48	48	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	46	20	30	0	0	
32	3.6115252959167417	oxygenation_HIF-1α	3	1	49	48	2	0	0	50	0	1	1	0	1	1	0	0	0	49	1	0	0	0	0	0	1	46	20	30	0	0	
33	3.6516860919656926	HIF1α-OH-VHL_ass	2	1	49	48	2	0	0	50	0	1	1	0	1	1	0	0	0	48	2	0	0	0	0	0	1	46	20	30	0	0	
34	3.6938966181151645	HIF-1αβ_diss	2	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	0	0	0	0	0	1	47	20	30	0	0	
35	3.9152780967970444	HIF1α-OH-VHL_degradation	2	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	47	20	30	0	0	
36	3.9597006113866904	oxygen_supply_out	2	1	49	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	47	21	29	0	0	
37	3.9848707651320603	oxygenation_HIF-1α	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	47	21	29	0	0	
38	3.9884037221675332	HIF1α-OH-VHL_ass	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	1	0	0	0	0	1	47	21	29	0	0	
39	4.036777625720492	HIF1α-OH-VHL_ass	1	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	47	21	29	0	0	
40	4.125058314321598	HIF-1αβ-PHD_ass	1	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	1	0	0	0	1	47	21	29	0	0	
41	4.151929408202716	interface_HIF1α	1	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	1	0	0	0	1	48	21	29	0	0	
42	4.459564770810496	HIF1α-OH-VHL_diss	2	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	48	2	1	1	0	0	0	1	48	21	29	0	0	
43	4.480937186684697	HIF1α-OH-VHL_diss	3	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	1	0	0	0	1	48	21	29	0	0	
44	4.515192168722075	oxygen_supply_out	3	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	1	0	0	0	1	48	22	28	0	0	
45	4.64969492907006	interface_HIF1α	3	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	1	0	0	0	1	49	22	28	0	0	
46	4.679480575063972	oxygen_supply_out	3	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	1	0	0	0	1	49	23	27	0	0	
47	4.803422217120054	oxygen_supply_in	3	0	49	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	1	0	0	0	1	49	22	28	0	0	
48	5.227841578735089	oxygenation_HIF-1αβ	3	0	50	49	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	1	0	1	49	22	28	0	0	
49	5.240160953748885	HIF1α-OH-VHL_diss	4	0	50	49	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	1	0	0	1	0	1	49	22	28	0	0	
50	5.324867819030452	HIF-1αβ-OH_diss	5	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	50	0	1	0	0	0	0	1	49	22	28	0	0	
51	5.327164399792503	HIF1α-OH-VHL_ass	4	0	50	50	0	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	49	22	28	0	0	
52	5.3920790800194105	HIF-1αβ_ass	4	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	49	1	1	0	0	0	0	1	48	22	28	0	0	
53	5.452942278205166	HIF1α-OH-VHL_ass	3	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	48	2	1	0	0	0	0	1	48	22	28	0	0	
54	5.567009206999099	HIF1α-OH-VHL_ass	2	0	50	49	1	0	0	50	0	1	1	0	1	1	0	0	0	47	3	1	0	0	0	0	1	48	22	28	0	0	
