PlaceName			HIF-1α-OH	HIF-1α-PHD	PHD	HIF-1β	HIF-1αβ	HIF-1αβ-HRE	mRNA	HRE	H+_ext_(pH_ext)	CO2_ext	H2O_ext	HCO-3_ext	CA2	NBC	H+_int_(pH_int)	CO2	H2O	VHL	HIF1α-OH-VHL	OH_HIF1α_degraded	HIF-1αβ-PHD	HIF-1αβ-OH-HRE	HIF-1αβ-OH	CA9	normoxia	HIF-1α	O2_inverse	O2	hypoxia	CA9_degraded	
PlaceID			0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	
----------------
Step	Time	Fired transition(s)
1	0.033397264824290604	oxygen_supply_out	0	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	1	49	0	0	
2	0.20068964589898108	oxygen_supply_in	0	0	50	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	50	0	50	0	0	
3	0.5707932905027029	T2	0	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	50	0	0	
4	0.7294505505806181	T2	0	2	48	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
5	0.9145424091182157	T3	0	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	50	0	0	
6	1.0581148333163923	interface_HIF1α	0	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
7	1.1982599635745759	interface_HIF1α	0	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	49	0	50	0	0	
8	1.322182692320491	T2	0	3	47	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
9	1.4524245941445488	T_HIF-1αβ_ass-PHD	0	3	46	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	48	0	50	0	0	
10	1.627845261855504	oxygenation_HIF-1αβ	0	3	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	0	50	0	0	
11	1.7034564082091603	oxygen_supply_out	0	3	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	1	49	0	0	
12	1.870265274718272	T28	0	2	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	49	1	49	0	0	
13	2.1960347726641674	T2	0	3	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	1	49	0	0	
14	2.264291486173815	oxygen_supply_in	0	3	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	48	0	50	0	0	
15	2.3342745172873225	HIF-1αβ-OH-diss_HIF1-β	1	3	47	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
16	2.3364399937716684	T2	1	4	46	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	0	50	0	0	
17	2.359154779452987	T28	1	3	47	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	0	50	0	0	
18	2.403136682514178	oxygen_supply_out	1	3	47	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	1	49	0	0	
19	2.42708926594286	oxygenation_HIF-1α	2	2	48	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	1	49	0	0	
20	2.437916741254824	oxygen_supply_out	2	2	48	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	2	48	0	0	
21	2.460601128482931	oxygenation_HIF-1α	3	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	2	48	0	0	
22	2.7853873457115323	oxygen_supply_out	3	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	3	47	0	0	
23	2.8014885802536025	oxygen_supply_out	3	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	4	46	0	0	
24	2.8352380381663362	oxygen_supply_in	3	1	49	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	3	47	0	0	
25	2.8708090643122235	T2	3	2	48	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	3	47	0	0	
26	2.874163429740037	interface_HIF1α	3	2	48	50	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	48	3	47	0	0	
27	3.0303999359808804	T3	3	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	3	47	0	0	
28	3.2028580114408634	T_HIF-1αβ_ass-PHD	3	2	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	47	3	47	0	0	
29	3.2729101396715703	T30	3	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	3	47	0	0	
30	3.2791716172362846	oxygen_supply_out	3	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	4	46	0	0	
31	3.4122150630871566	oxygen_supply_in	3	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	47	3	47	0	0	
32	3.6291453961252444	T3	3	2	48	48	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	3	47	0	0	
33	3.6490134676709243	T_HIF-1αβ_ass-PHD	3	2	47	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	46	3	47	0	0	
34	3.665458775388651	T_HIF-1αβ_diss	3	2	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	47	3	47	0	0	
35	3.7390259972358106	oxygenation_HIF-1α	4	1	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	47	3	47	0	0	
36	3.801277574019422	T3	4	1	48	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	46	3	47	0	0	
37	3.8985656790852072	oxygenation_HIF-1αβ	4	1	49	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	46	3	47	0	0	
38	4.008973628584969	HIF-1αβ-OH-diss_HIF1-β	5	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	3	47	0	0	
39	4.06687307532891	oxygen_supply_in	5	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	2	48	0	0	
40	4.371512695441443	T2	5	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	2	48	0	0	
41	4.395852447725915	oxygen_supply_in	5	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	1	49	0	0	
42	4.4120925915154015	oxygen_supply_in	5	2	48	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	50	0	0	
43	4.457242080019479	oxygenation_HIF-1α	6	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	50	0	0	
44	4.4646842460781615	T28	6	0	50	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	46	0	50	0	0	
45	4.4707427234645625	T2	6	1	49	49	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	45	0	50	0	0	
46	4.475931220045709	T_HIF-1αβ_ass-PHD	6	1	48	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	45	0	50	0	0	
47	4.628326905745426	T2	6	2	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	44	0	50	0	0	
48	4.674387467726574	oxygen_supply_out	6	2	47	49	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	44	1	49	0	0	
49	4.690952730569811	T3	6	2	47	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	43	1	49	0	0	
50	4.911245430276905	oxygen_supply_in	6	2	47	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	43	0	50	0	0	
51	4.966829962481761	interface_HIF1α	6	2	47	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	44	0	50	0	0	
52	5.158265549284947	oxygenation_HIF-1α	7	1	48	48	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	44	0	50	0	0	
53	5.335962747138987	T3	7	1	48	47	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	43	0	50	0	0	
54	5.347421784528082	T_HIF-1αβ_ass-PHD	7	1	47	47	1	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	43	0	50	0	0	
55	5.414648784914031	T30	7	1	48	47	2	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	43	0	50	0	0	
56	5.5162390915918795	T3	7	1	48	46	3	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	42	0	50	0	0	
